iteration,time_nsgaii,time_spea2_1,time_spea2_2,time_spea2_3,bestT_nsgaii,bestT_spea2_1,bestT_spea2_2,bestT_spea2_3,bestT_nsgaii,bestT_spea2_1,bestT_spea2_2,bestT_spea2_3,
0,52410,75120,130459,123089,35370.0,28680.0,14002.0,26992.0,81.78550124014944,80.78183078183078,80.34363321483912,79.5034241409479
1,50258,66674,109374,125214,6784.0,15218.0,26088.0,21684.0,79.06780233894409,80.1598321453917,80.22891402098378,79.26380562692295
2,56168,67987,128655,129934,4210.0,17910.0,9588.0,8950.0,82.8371940200427,83.49308784916643,80.54212870817932,79.98855162597852
3,53999,62795,131585,127764,20544.0,32020.0,23080.0,1620.0,81.60570118608591,79.57642971672902,79.32249058563822,79.4175469483568
4,52228,69751,133221,125970,26146.0,24412.0,5000.0,35060.0,83.20648413561332,82.96225032068902,81.30453958353023,80.93217614914819
5,51690,70627,115111,118643,15630.0,38686.0,21008.0,14174.0,81.8336295326287,82.53238406012063,80.10916734472471,79.42208850445029
6,56476,71944,127122,129725,13670.0,18718.0,29628.0,14700.0,81.42943762316203,82.61583423636424,80.798695625039,81.17898633984424
7,53453,72739,130010,115504,8110.0,21512.0,12416.0,27186.0,82.90197193780811,80.5880170654795,78.76832235475639,80.01570663845884
8,53077,67355,130624,128019,20542.0,18096.0,2008.0,23120.0,81.4468307370879,82.90654205607477,81.3765631943122,80.69690992767916
9,54854,71280,132967,130235,26560.0,25412.0,19264.0,25992.0,82.89828839986028,82.47919404292598,80.75637812479918,79.3830014224751
