NO.,n_SPEA2_2,n_NSGAII_2,n_MOEA,"C(SPEA2_2,NSGAII_2)","C(NSGAII_2,SPEA2_2)","C(SPEA2_2,MOEA)","C(MOEA,SPEA2_2)","C(NSGAII_2,MOEA)","C(MOEA,NSGAII_2)",HV(SPEA2_2),HV(NSGAII_2),HV(MOEA)
1,13,21,20,0.571428571,0.230769231,0.5,0.230769231,0.4,0.238095238,15.34117561,15.77434157,15.76129109
2,10,16,30,0.75,0.1,0.4,0.2,0.433333333,0.625,17.11578141,15.72231143,17.02861256
3,11,25,24,0.04,0.363636364,0,0.363636364,0.25,0.12,16.91222004,17.22845073,17.19456964
4,12,23,23,0.043478261,0.75,0,0.666666667,0.130434783,0.130434783,16.64804045,17.10030696,17.17299682
5,9,27,21,0.111111111,0.444444444,0.19047619,0.444444444,0.19047619,0.074074074,16.90628941,17.18506636,17.17140197
average,11,22.4,23.6,0.303203589,0.377770008,0.218095238,0.381103341,0.280848861,0.237520819,16.58470138,16.60209541,16.86577442
best,13,27,30,0.75,0.75,0.5,0.666666667,0.433333333,0.625,17.11578141,17.22845073,17.19456964
